test001	chr13	6274091																										0.468	0.201	0.769	0.507	0.377	0.714	0.572	0.329	0.152	0.095
test002	chr14	8852782																										0.028	0.563	0.133	0.573	0.367	0.191	0.239	0.293	0.228	0.733
test003	chr5	5380684																										0.881	0.110	0.407	0.082	0.194	0.117	0.251	0.681	0.738	0.295
test004	chr10	2040223																										0.132	0.311	0.097	0.915	0.856	0.953	0.953	0.190	0.186	0.765
test005	chr4	788136																										0.944	0.056	0.956	0.559	0.741	0.264	0.121	0.621	0.212	0.230
test006	chr16	5423546																										0.955	0.223	0.456	0.392	0.486	0.195	0.841	0.573	0.433	0.767
test007	chr3	7866108																										0.746	0.784	0.417	0.801	0.868	0.321	0.141	0.090	0.629	0.947
test008	chr5	7109048																										0.620	0.845	0.881	0.200	0.353	0.298	0.798	0.708	0.861	0.660
test009	chr16	93622																										0.479	0.828	0.623	0.784	0.801	0.275	0.436	0.607	0.568	0.476
test010	chr5	1909588																										0.187	0.324	0.047	0.557	0.863	0.445	0.820	0.728	0.785	0.198
test011	chr19	2052839																										0.790	0.757	0.894	0.918	0.744	0.689	0.940	0.625	0.222	0.639
test012	chr5	2245709																										0.051	0.929	0.420	0.376	0.863	0.947	0.325	0.598	0.486	0.947
test013	chr12	2537991																										0.254	0.861	0.408	0.790	0.141	0.226	0.377	0.871	0.924	0.281
test014	chr21	1721394																										0.988	0.398	0.254	0.123	0.029	0.936	0.498	0.976	0.739	0.615
